PhysicalActivity5OrMoreDays,activity_days,QN80_group,BMIPCT
2.0,1.0,Did not meet recommendation,9.166422739
3.0,2.0,Did not meet recommendation,39.83290293
1.0,0.0,Did not meet recommendation,41.29710255
1.0,0.0,Did not meet recommendation,94.85089769
3.0,2.0,Did not meet recommendation,74.84675066
3.0,2.0,Did not meet recommendation,97.23364986
8.0,7.0,Met recommendation,65.10834035
8.0,7.0,Met recommendation,93.4942442
4.0,3.0,Did not meet recommendation,95.76721077
2.0,1.0,Did not meet recommendation,99.61995365
1.0,0.0,Did not meet recommendation,10.55214112
2.0,1.0,Did not meet recommendation,55.13320687
8.0,7.0,Met recommendation,39.03729713
1.0,0.0,Did not meet recommendation,75.08579851
1.0,0.0,Did not meet recommendation,67.85584641
1.0,0.0,Did not meet recommendation,56.12271161
3.0,2.0,Did not meet recommendation,72.77371208
5.0,4.0,Did not meet recommendation,75.42161697
2.0,1.0,Did not meet recommendation,71.40661886
4.0,3.0,Did not meet recommendation,80.55410129
6.0,5.0,Met recommendation,78.9594291
1.0,0.0,Did not meet recommendation,30.14155853
6.0,5.0,Met recommendation,8.572778087
8.0,7.0,Met recommendation,52.16728949
8.0,7.0,Met recommendation,60.66321529
8.0,7.0,Met recommendation,55.18146429
2.0,1.0,Did not meet recommendation,63.00335407
3.0,2.0,Did not meet recommendation,28.86485531
7.0,6.0,Met recommendation,10.18249348
2.0,1.0,Did not meet recommendation,15.52368583
2.0,1.0,Did not meet recommendation,51.77995186
3.0,2.0,Did not meet recommendation,41.73731334
8.0,7.0,Met recommendation,2.25e-06
1.0,0.0,Did not meet recommendation,73.34615457
8.0,7.0,Met recommendation,89.96770983
1.0,0.0,Did not meet recommendation,1.581399578
4.0,3.0,Did not meet recommendation,27.29502022
8.0,7.0,Met recommendation,28.54864874
4.0,3.0,Did not meet recommendation,42.9070731
4.0,3.0,Did not meet recommendation,28.36149003
7.0,6.0,Met recommendation,76.12920997
3.0,2.0,Did not meet recommendation,87.16521278
1.0,0.0,Did not meet recommendation,71.24517665
1.0,0.0,Did not meet recommendation,50.642691
3.0,2.0,Did not meet recommendation,90.7689509
8.0,7.0,Met recommendation,97.31596569
1.0,0.0,Did not meet recommendation,2.702715023
3.0,2.0,Did not meet recommendation,93.16003384
7.0,6.0,Met recommendation,2.313488775
1.0,0.0,Did not meet recommendation,99.17328495
2.0,1.0,Did not meet recommendation,63.47778733
2.0,1.0,Did not meet recommendation,13.08187583
1.0,0.0,Did not meet recommendation,45.28645414
4.0,3.0,Did not meet recommendation,98.91230885
1.0,0.0,Did not meet recommendation,95.11584958
1.0,0.0,Did not meet recommendation,96.02199137
1.0,0.0,Did not meet recommendation,67.24002801
3.0,2.0,Did not meet recommendation,29.11078354
1.0,0.0,Did not meet recommendation,91.15175113
1.0,0.0,Did not meet recommendation,7.402370058
2.0,1.0,Did not meet recommendation,2.909291727
2.0,1.0,Did not meet recommendation,35.53356949
4.0,3.0,Did not meet recommendation,30.97488641
8.0,7.0,Met recommendation,50.14851643
8.0,7.0,Met recommendation,27.25450767
6.0,5.0,Met recommendation,35.87780684
1.0,0.0,Did not meet recommendation,84.57523065
2.0,1.0,Did not meet recommendation,96.60449181
3.0,2.0,Did not meet recommendation,0.012937873
3.0,2.0,Did not meet recommendation,64.9623322
8.0,7.0,Met recommendation,57.23154694
8.0,7.0,Met recommendation,84.60323997
5.0,4.0,Did not meet recommendation,63.24664717
8.0,7.0,Met recommendation,39.39239835
1.0,0.0,Did not meet recommendation,98.40769524
3.0,2.0,Did not meet recommendation,90.445849
8.0,7.0,Met recommendation,35.70830555
7.0,6.0,Met recommendation,29.93458107
1.0,0.0,Did not meet recommendation,3.624612031
1.0,0.0,Did not meet recommendation,57.16624079
1.0,0.0,Did not meet recommendation,0.099974269
2.0,1.0,Did not meet recommendation,13.16010488
4.0,3.0,Did not meet recommendation,17.74504799
1.0,0.0,Did not meet recommendation,78.66079606
1.0,0.0,Did not meet recommendation,99.00676486
3.0,2.0,Did not meet recommendation,65.01459821
2.0,1.0,Did not meet recommendation,11.7578857
4.0,3.0,Did not meet recommendation,31.95457566
4.0,3.0,Did not meet recommendation,84.68839156
1.0,0.0,Did not meet recommendation,6.550834406
4.0,3.0,Did not meet recommendation,83.86652792
8.0,7.0,Met recommendation,11.9858923
6.0,5.0,Met recommendation,80.72244171
2.0,1.0,Did not meet recommendation,74.0489888
8.0,7.0,Met recommendation,13.71140227
8.0,7.0,Met recommendation,69.13085778
1.0,0.0,Did not meet recommendation,62.69018255
1.0,0.0,Did not meet recommendation,59.36187206
6.0,5.0,Met recommendation,62.69018255
8.0,7.0,Met recommendation,42.73610117
6.0,5.0,Met recommendation,63.45918088
1.0,0.0,Did not meet recommendation,97.91131841
8.0,7.0,Met recommendation,89.43535191
1.0,0.0,Did not meet recommendation,55.96980611
6.0,5.0,Met recommendation,88.10799552
8.0,7.0,Met recommendation,86.2705902
2.0,1.0,Did not meet recommendation,71.891691
8.0,7.0,Met recommendation,16.34633408
4.0,3.0,Did not meet recommendation,20.41671842
1.0,0.0,Did not meet recommendation,87.16138715
8.0,7.0,Met recommendation,91.62141608
8.0,7.0,Met recommendation,40.79455963
2.0,1.0,Did not meet recommendation,22.66659312
7.0,6.0,Met recommendation,47.57875662
1.0,0.0,Did not meet recommendation,93.57446282
8.0,7.0,Met recommendation,59.47446449
1.0,0.0,Did not meet recommendation,60.06952126
1.0,0.0,Did not meet recommendation,26.20415662
4.0,3.0,Did not meet recommendation,97.21755336
3.0,2.0,Did not meet recommendation,3.768482946
6.0,5.0,Met recommendation,82.23608164
2.0,1.0,Did not meet recommendation,95.36539337
1.0,0.0,Did not meet recommendation,92.91381168
5.0,4.0,Did not meet recommendation,89.56517468
6.0,5.0,Met recommendation,51.28932037
2.0,1.0,Did not meet recommendation,52.55947074
1.0,0.0,Did not meet recommendation,40.8934694
8.0,7.0,Met recommendation,99.34120298
1.0,0.0,Did not meet recommendation,97.23548996
8.0,7.0,Met recommendation,63.8076547
6.0,5.0,Met recommendation,63.80400179
5.0,4.0,Did not meet recommendation,41.79514038
5.0,4.0,Did not meet recommendation,69.13113635
7.0,6.0,Met recommendation,84.84665926
8.0,7.0,Met recommendation,93.25956317
8.0,7.0,Met recommendation,73.87758954
8.0,7.0,Met recommendation,19.12650374
8.0,7.0,Met recommendation,89.82347469
5.0,4.0,Did not meet recommendation,97.6817734
5.0,4.0,Did not meet recommendation,66.84791246
7.0,6.0,Met recommendation,99.5327482
5.0,4.0,Did not meet recommendation,42.58443965
8.0,7.0,Met recommendation,87.79133475
8.0,7.0,Met recommendation,62.05752496
4.0,3.0,Did not meet recommendation,23.56629787
3.0,2.0,Did not meet recommendation,66.67372723
1.0,0.0,Did not meet recommendation,54.17779991
8.0,7.0,Met recommendation,1.398242214
1.0,0.0,Did not meet recommendation,49.07165942
1.0,0.0,Did not meet recommendation,83.50451958
1.0,0.0,Did not meet recommendation,4.861742324
6.0,5.0,Met recommendation,5.750020485
6.0,5.0,Met recommendation,77.20364961
1.0,0.0,Did not meet recommendation,94.68291579
1.0,0.0,Did not meet recommendation,91.34293389
1.0,0.0,Did not meet recommendation,74.41879277
8.0,7.0,Met recommendation,95.68925253
1.0,0.0,Did not meet recommendation,37.18895874
1.0,0.0,Did not meet recommendation,93.13918876
1.0,0.0,Did not meet recommendation,38.60495566
6.0,5.0,Met recommendation,68.28334828
1.0,0.0,Did not meet recommendation,34.21869952
3.0,2.0,Did not meet recommendation,93.11718517
1.0,0.0,Did not meet recommendation,45.17144028
1.0,0.0,Did not meet recommendation,5.901546091
4.0,3.0,Did not meet recommendation,75.19253869
1.0,0.0,Did not meet recommendation,88.71558532
4.0,3.0,Did not meet recommendation,84.25452085
1.0,0.0,Did not meet recommendation,98.62953019
3.0,2.0,Did not meet recommendation,30.98255809
1.0,0.0,Did not meet recommendation,95.12950717
